filename,width,height,class,xmin,ymin,xmax,ymax
Lata_077.jpg,300,168,Lata,23,82,57,143
Lata_014.jpg,594,1078,Lata,14,35,574,1062
Lata_011.jpg,375,375,Lata,95,5,286,372
Lata_069.jpg,500,461,Lata,2,1,84,156
Lata_075.jpg,1024,685,Lata,554,261,763,567
Lata_072.jpg,600,600,Lata,27,214,188,531
Lata_012.jpg,350,350,Lata,79,1,270,349
Lata_059.jpg,900,599,Lata,632,167,899,577
Lata_042.jpg,225,225,Lata,10,42,66,172
Lata_024.jpg,225,225,Lata,74,49,151,190
Lata_043.jpg,225,225,Lata,68,32,155,193
Lata_084.jpg,350,350,Lata,106,41,246,306
Lata_076.jpg,885,666,Lata,240,55,544,631
Lata_016.jpg,225,225,Lata,61,13,162,212
Lata_070.jpg,600,851,Lata,121,59,450,674
Lata_048.jpg,750,422,Lata,164,33,387,412
Lata_100.jpg,348,348,Lata,62,1,247,307
Lata_086.jpg,225,225,Lata,13,22,109,208
Lata_089.jpg,236,236,Lata,68,25,168,213
Lata_054.jpg,500,500,Lata,41,107,217,435
Lata_044.jpg,600,800,Lata,98,18,459,790
Lata_080.jpg,2048,2048,Lata,181,1,997,1042
Lata_068.jpg,450,319,Lata,15,121,132,296
Lata_061.jpg,533,300,Lata,188,44,318,271
Lata_030.jpg,480,640,Lata,83,30,356,553
Lata_021.jpg,159,318,Lata,1,9,158,315
Lata_095.jpg,201,251,Lata,6,47,88,202
Lata_057.jpg,320,157,Lata,94,44,149,146
Lata_062.jpg,97,201,Lata,1,2,96,199
Lata_039.jpg,480,360,Lata,184,91,295,290
Lata_094.jpg,741,483,Lata,439,34,656,439
Lata_045.jpg,215,234,Lata,113,34,208,213
Lata_056.jpg,215,234,Lata,49,56,103,151
Lata_074.jpg,720,864,Lata,94,32,589,858
Lata_067.jpg,640,360,Lata,167,97,285,328
Lata_031.jpg,980,653,Lata,153,165,377,597
Lata_087.jpg,500,283,Lata,87,55,175,210
Lata_023.jpg,500,309,Lata,1,76,126,307
Lata_051.jpg,600,927,Lata,5,327,175,814
Lata_026.jpg,225,225,Lata,28,9,143,216
Lata_065.jpg,600,600,Lata,100,211,250,474
Lata_046.jpg,600,600,Lata,146,8,451,593
Lata_050.jpg,237,213,Lata,10,9,124,208
Lata_047.jpg,500,300,Lata,103,1,180,131
Lata_097.jpg,194,259,Lata,49,25,147,223
Lata_049.jpg,635,970,Lata,161,322,458,810
Lata_091.jpg,480,360,Lata,2,47,108,245
Lata_090.jpg,706,351,Lata,461,132,533,269
Lata_019.jpg,300,400,Lata,59,45,222,340
Lata_081.jpg,750,235,Lata,215,1,356,233
Lata_018.jpg,875,854,Lata,482,293,764,836
Lata_092.jpg,572,344,Lata,252,217,320,342
Lata_022.jpg,437,612,Lata,106,55,350,528
Lata_082.jpg,634,719,Lata,153,1,536,707
Lata_096.jpg,194,259,Lata,52,39,155,221
Lata_085.jpg,236,236,Lata,177,63,235,174
Lata_078.jpg,400,400,Lata,98,9,307,395
Lata_083.jpg,550,369,Lata,367,18,540,354
Lata_041.jpg,562,589,Lata,186,156,385,538
Lata_052.jpg,500,1073,Lata,11,4,498,1072
Lata_033.jpg,225,225,Lata,27,10,143,221
Lata_025.jpg,600,900,Lata,105,111,488,828
Lata_073.jpg,900,600,Lata,254,194,471,594
Lata_079.jpg,760,672,Lata,419,2,743,670
Lata_071.jpg,225,225,Lata,1,60,77,166
Lata_064.jpg,675,867,Lata,237,197,417,533
Lata_032.jpg,550,367,Lata,140,107,252,330
Lata_053.jpg,300,400,Lata,37,1,256,397
Lata_098.jpg,533,800,Lata,293,374,503,741
Lata_055.jpg,500,500,Lata,85,17,273,332
Lata_036.jpg,187,270,Lata,42,41,147,241
Lata_020.jpg,276,183,Lata,80,11,207,179
Lata_017.jpg,224,224,Lata,54,10,166,219
Lata_093.jpg,2592,1936,Lata,715,856,1203,1738
Lata_034.jpg,960,540,Lata,365,1,800,537
Lata_028.jpg,720,800,Lata,116,1,596,795
Lata_060.jpg,350,350,Lata,183,104,283,307
Lata_027.jpg,370,370,Lata,231,73,332,285
Lata_029.jpg,225,225,Lata,35,4,187,223
Lata_038.jpg,400,400,Lata,129,78,274,357
Lata_063.jpg,900,600,Lata,435,8,646,432
Lata_040.jpg,169,299,Lata,1,1,168,298
Lata_099.jpg,300,168,Lata,124,45,170,128
Lata_058.jpg,0,0,Lata,1,1,134,292
Lata_037.jpg,159,316,Lata,1,1,156,313
Lata_035.jpg,800,800,Lata,205,22,606,775
Lata_013.jpg,350,350,Lata,106,25,242,327
Lata_088.jpg,498,321,Lata,88,1,173,159
Lata_066.jpg,480,360,Lata,199,161,278,304
Lata_015.jpg,460,490,Lata,143,87,308,402
